#t	x	v
0.232	0.231	0.973
0.233	0.232	0.973
0.234	0.233	0.973
0.235	0.234	0.972
0.236	0.235	0.972
0.237	0.236	0.972
0.238	0.237	0.972
0.239	0.238	0.971
0.240	0.239	0.971
0.241	0.240	0.971
0.242	0.241	0.971
0.243	0.242	0.971
0.244	0.243	0.970
0.245	0.244	0.970
0.246	0.244	0.970
0.247	0.245	0.970
0.248	0.246	0.969
0.249	0.247	0.969
0.250	0.248	0.969
0.251	0.249	0.969
0.252	0.250	0.968
0.253	0.251	0.968
0.254	0.252	0.968
0.255	0.253	0.968
0.256	0.254	0.967
0.257	0.255	0.967
0.258	0.256	0.967
0.259	0.257	0.967
0.260	0.258	0.966
0.261	0.259	0.966
0.262	0.260	0.966
0.263	0.261	0.965
0.264	0.262	0.965
0.265	0.263	0.965
0.266	0.264	0.965
0.267	0.265	0.964
0.268	0.266	0.964
0.269	0.267	0.964
0.270	0.268	0.964
0.271	0.269	0.963
0.272	0.270	0.963
0.273	0.271	0.963
0.274	0.272	0.963
0.275	0.273	0.962
0.276	0.273	0.962
0.277	0.274	0.962
0.278	0.275	0.961
0.279	0.276	0.961
0.280	0.277	0.961
0.281	0.278	0.961
0.282	0.279	0.960
0.283	0.280	0.960
0.284	0.281	0.960
0.285	0.282	0.960
0.286	0.283	0.959
0.287	0.284	0.959
0.288	0.285	0.959
0.289	0.286	0.958
0.290	0.287	0.958
0.291	0.288	0.958
0.292	0.289	0.958
0.293	0.290	0.957
0.294	0.291	0.957
0.295	0.292	0.957
0.296	0.293	0.956
0.297	0.294	0.956
0.298	0.295	0.956
0.299	0.296	0.955
0.300	0.296	0.955
0.301	0.297	0.955
0.302	0.298	0.955
0.303	0.299	0.954
0.304	0.300	0.954
0.305	0.301	0.954
0.306	0.302	0.953
0.307	0.303	0.953
0.308	0.304	0.953
0.309	0.305	0.952
0.310	0.306	0.952
0.311	0.307	0.952
0.312	0.308	0.952
0.313	0.309	0.951
0.314	0.310	0.951
0.315	0.311	0.951
0.316	0.312	0.950
0.317	0.313	0.950
0.318	0.314	0.950
